id,source_file,dataset_key,series_year,period_start,period_end,period_label,jurisdiction,jurisdiction_slug,location,location_slug,age_group,age_group_slug,metric_key,metric_label,metric_group,detection_method,detection_method_slug,fines,arrests,charges,total_actions
fines-07136,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2010,2010-01-01,2010-12-31,Jan 2010,ACT,act,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,2407,0,0,2407
fines-07137,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2010,2010-01-01,2010-12-31,Jan 2010,ACT,act,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,58705,0,0,58705
fines-07138,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2010,2010-01-01,2010-12-31,Jan 2010,NSW,nsw,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,51104,0,0,51104
fines-07139,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2010,2010-01-01,2010-12-31,Jan 2010,NSW,nsw,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,390746,0,0,390746
fines-07140,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2010,2010-01-01,2010-12-31,Jan 2010,NT,nt,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,998,0,0,998
fines-07141,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2010,2010-01-01,2010-12-31,Jan 2010,NT,nt,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,26775,0,0,26775
fines-07142,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2010,2010-01-01,2010-12-31,Jan 2010,QLD,qld,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,33013,0,0,33013
fines-07143,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2010,2010-01-01,2010-12-31,Jan 2010,QLD,qld,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,440622,0,0,440622
fines-07144,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2010,2010-01-01,2010-12-31,Jan 2010,SA,sa,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,14139,0,0,14139
fines-07145,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2010,2010-01-01,2010-12-31,Jan 2010,SA,sa,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,91335,0,0,91335
fines-07146,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2010,2010-01-01,2010-12-31,Jan 2010,TAS,tas,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,3735,0,0,3735
fines-07147,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2010,2010-01-01,2010-12-31,Jan 2010,TAS,tas,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,37376,0,0,37376
fines-07148,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2010,2010-01-01,2010-12-31,Jan 2010,VIC,vic,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,54728,0,0,54728
fines-07149,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2010,2010-01-01,2010-12-31,Jan 2010,VIC,vic,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,1172460,0,0,1172460
fines-07150,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2010,2010-01-01,2010-12-31,Jan 2010,WA,wa,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,11705,0,0,11705
fines-07151,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2010,2010-01-01,2010-12-31,Jan 2010,WA,wa,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,300344,0,0,300344
fines-07152,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2011,2011-01-01,2011-12-31,Jan 2011,ACT,act,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,2284,0,0,2284
fines-07153,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2011,2011-01-01,2011-12-31,Jan 2011,ACT,act,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,56719,0,0,56719
fines-07154,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2011,2011-01-01,2011-12-31,Jan 2011,NSW,nsw,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,46714,0,0,46714
fines-07155,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2011,2011-01-01,2011-12-31,Jan 2011,NSW,nsw,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,389649,0,0,389649
fines-07156,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2011,2011-01-01,2011-12-31,Jan 2011,NT,nt,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,729,0,0,729
